date,ticker,close_price
2023-12-04,BGBL,55.46
2023-12-04,GGOV,14.03
2023-12-04,A123,119.00
2023-12-04,ETHI,12.71
2023-12-04,CYBR,10.35
2023-12-04,BBOZ,3.56
2023-12-04,NDQ,36.34
2023-12-04,GEAR,23.82
2023-12-04,AAA,50.10
2023-12-05,BGBL,55.68
2023-12-05,GGOV,14.09
2023-12-05,A123,117.86
2023-12-05,ETHI,12.76
2023-12-05,CYBR,10.53
2023-12-05,BBOZ,3.64
2023-12-05,NDQ,36.41
2023-12-05,GEAR,23.29
2023-12-05,AAA,50.11
2023-12-06,BGBL,56.05
2023-12-06,GGOV,14.28
2023-12-06,A123,120.10
2023-12-06,ETHI,12.85
2023-12-06,CYBR,10.61
2023-12-06,NDQ,36.76
2023-12-06,BBOZ,3.49
2023-12-06,GEAR,24.22
2023-12-06,AAA,50.11
2023-12-07,BGBL,56.04
2023-12-07,GGOV,14.42
2023-12-07,A123,119.75
2023-12-07,ETHI,12.89
2023-12-07,CYBR,10.57
2023-12-07,BBOZ,3.51
2023-12-07,NDQ,36.69
2023-12-07,GEAR,24.15
2023-12-07,AAA,50.12
2023-12-08,BGBL,55.71
2023-12-08,GGOV,14.40
2023-12-08,A123,120.20
2023-12-08,ETHI,12.78
2023-12-08,CYBR,10.46
2023-12-08,BBOZ,3.47
2023-12-08,NDQ,36.68
2023-12-08,GEAR,24.33
2023-12-08,AAA,50.12
2023-12-11,BGBL,56.44
2023-12-11,GGOV,14.28
2023-12-11,A123,120.23
2023-12-11,ETHI,12.96
2023-12-11,CYBR,10.62
2023-12-11,NDQ,37.11
2023-12-11,BBOZ,3.47
2023-12-11,GEAR,24.36
2023-12-11,AAA,50.15
2023-12-12,BGBL,56.40
2023-12-12,GGOV,14.30
2023-12-12,A123,120.87
2023-12-12,ETHI,12.96
2023-12-12,CYBR,10.75
2023-12-12,NDQ,37.36
2023-12-12,BBOZ,3.42
2023-12-12,GEAR,24.65
2023-12-12,AAA,50.15
2023-12-13,BGBL,56.88
2023-12-13,GGOV,14.33
2023-12-13,A123,121.31
2023-12-13,ETHI,13.13
2023-12-13,CYBR,10.92
2023-12-13,NDQ,37.89
2023-12-13,GEAR,24.81
2023-12-13,BBOZ,3.40
2023-12-13,AAA,50.16
2023-12-14,BGBL,56.56
